Kanton,Einwohner,Waldflaeche,Waldranking
Basel-Stadt,189335,471,0.9950616632
Genf,469433,3005,2.5605357953
Zürich,1425538,50243,14.0979756415
Zug,118118,6447,21.8324048833
Basel-Landschaft,278656,20412,29.3006430868
Thurgau,260278,19717,30.3014469145
Aargau,636362,49016,30.8101363689
Luzern,390349,39341,40.3136680253
St.Gallen,491699,54931,44.6866884008
Solothurn,261437,31602,48.3512280205
Appenzell A.Rh.,53691,7191,53.5732245628
Freiburg,297622,42959,57.7363232557
Schaffhausen,78783,12677,64.3641394717
Waadt,749373,126641,67.5983789114
Neuenburg,176402,30556,69.2871962903
Bern,1001281,176071,70.338296642
Schwyz,151396,27643,73.0349546884
Nidwalden,41888,7758,74.0832696715
Appenzell I.Rh.,15778,4869,123.4376980606
Wallis,327011,109009,133.339857069
Tessin,346539,142293,164.2447170448
Obwalden,36507,18659,204.4429835374
Jura,71738,37252,207.7113942402
Glarus,39593,21017,212.3304624555
Uri,35865,20616,229.9289000418
Graubünden,194959,200002,410.3467908637